technique,angle,reference_key,status,source_url,source_url_1,source_url_2,source_url_3,source_url_4,segment_start_s,segment_end_s,quality,notes,target_technique_key,record_reference_key,command_ready,command
fighting_stance,front,fighting_stance__front,ready,https://www.youtube.com/watch?v=SjLXzCpRS8U,https://www.youtube.com/watch?v=SjLXzCpRS8U,https://www.youtube.com/watch?v=e2S6-gwR0es,https://www.youtube.com/watch?v=ApRBjb93FJ4,https://www.youtube.com/watch?v=DelgrO2MEiI,,,,auto: boxing fighting stance tutorial front view | Boxing Stance | Beginner Step-By-Step Tutorial,fighting_stance,fighting_stance__front,yes,"& ""python"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=SjLXzCpRS8U"" --record-reference ""fighting_stance__front"" --target-technique ""fighting_stance"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 1 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --auto-exit-after-reference --reference-search-max-frames 1800 --person-selection-mode ""most_motion"" --disable-structured-storage --reference-capture-mode ""best_window"" --ref-min-motion-energy 0.02 --ref-min-score-gate 0"
fighting_stance,left45,fighting_stance__left45,ready,https://www.youtube.com/watch?v=BZpdl092w4U,https://www.youtube.com/watch?v=BZpdl092w4U,https://www.youtube.com/watch?v=pFlW2MtfIVs,https://www.youtube.com/watch?v=e2S6-gwR0es,https://www.youtube.com/watch?v=oXdYa2vgC9c,,,,auto: boxing fighting stance tutorial left 45 degree view | Roy Jones Jr. Stance Breakdown,fighting_stance,fighting_stance__left45,yes,"& ""python"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=BZpdl092w4U"" --record-reference ""fighting_stance__left45"" --target-technique ""fighting_stance"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 1 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --auto-exit-after-reference --reference-search-max-frames 1800 --person-selection-mode ""most_motion"" --disable-structured-storage --reference-capture-mode ""best_window"" --ref-min-motion-energy 0.02 --ref-min-score-gate 0"
fighting_stance,right45,fighting_stance__right45,ready,https://www.youtube.com/watch?v=rU2MWIoVVos,https://www.youtube.com/watch?v=rU2MWIoVVos,https://www.youtube.com/watch?v=pFlW2MtfIVs,https://www.youtube.com/watch?v=-HV_dT74bsU,https://www.youtube.com/watch?v=BZpdl092w4U,,,,auto: boxing fighting stance tutorial right 45 degree view | Vasyl Lomachenko Boxing Stance,fighting_stance,fighting_stance__right45,yes,"& ""python"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=rU2MWIoVVos"" --record-reference ""fighting_stance__right45"" --target-technique ""fighting_stance"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 1 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --auto-exit-after-reference --reference-search-max-frames 1800 --person-selection-mode ""most_motion"" --disable-structured-storage --reference-capture-mode ""best_window"" --ref-min-motion-energy 0.02 --ref-min-score-gate 0"
fighting_stance,side,fighting_stance__side,ready,https://www.youtube.com/watch?v=75KjoTO1dJs,https://www.youtube.com/watch?v=75KjoTO1dJs,https://www.youtube.com/watch?v=e2S6-gwR0es,https://www.youtube.com/watch?v=rU2MWIoVVos,https://www.youtube.com/watch?v=-HV_dT74bsU,,,,auto: boxing fighting stance tutorial side view | Southpaw Stance for Right Handed Boxers,fighting_stance,fighting_stance__side,yes,"& ""python"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=75KjoTO1dJs"" --record-reference ""fighting_stance__side"" --target-technique ""fighting_stance"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 1 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --auto-exit-after-reference --reference-search-max-frames 1800 --person-selection-mode ""most_motion"" --disable-structured-storage --reference-capture-mode ""best_window"" --ref-min-motion-energy 0.02 --ref-min-score-gate 0"
jab,front,jab__front,ready,https://www.youtube.com/watch?v=71nmi6nGcrY,https://www.youtube.com/watch?v=71nmi6nGcrY,https://www.youtube.com/watch?v=e6UNuMxBIdE,https://www.youtube.com/watch?v=IIxk4E73R7o,https://www.youtube.com/watch?v=LpmcS_ixyKE,,,,auto: boxing jab tutorial front view | How to Throw the Perfect Jab in Boxing,jab,jab__front,yes,"& ""python"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=71nmi6nGcrY"" --record-reference ""jab__front"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 1 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --auto-exit-after-reference --reference-search-max-frames 1800 --person-selection-mode ""most_motion"" --disable-structured-storage --reference-capture-mode ""best_window"" --ref-min-motion-energy 0.02 --ref-min-score-gate 0"
jab,left45,jab__left45,ready,https://www.youtube.com/watch?v=wxZjcfMDZvw,https://www.youtube.com/watch?v=wxZjcfMDZvw,https://www.youtube.com/watch?v=hNclexRmDsY,https://www.youtube.com/watch?v=h4vQrtKr5F0,https://www.youtube.com/watch?v=BZpdl092w4U,,,,auto: boxing jab tutorial left 45 degree view | Canelo Alvarez Jab Technique,jab,jab__left45,yes,"& ""python"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=wxZjcfMDZvw"" --record-reference ""jab__left45"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 1 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --auto-exit-after-reference --reference-search-max-frames 1800 --person-selection-mode ""most_motion"" --disable-structured-storage --reference-capture-mode ""best_window"" --ref-min-motion-energy 0.02 --ref-min-score-gate 0"
jab,right45,jab__right45,ready,https://www.youtube.com/watch?v=VljZoHO1OLk,https://www.youtube.com/watch?v=VljZoHO1OLk,https://www.youtube.com/watch?v=h4vQrtKr5F0,https://www.youtube.com/watch?v=wxZjcfMDZvw,https://www.youtube.com/watch?v=hNclexRmDsY,,,,auto: boxing jab tutorial right 45 degree view | Floyd Mayweather Fundamentals,jab,jab__right45,yes,"& ""python"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=VljZoHO1OLk"" --record-reference ""jab__right45"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 1 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --auto-exit-after-reference --reference-search-max-frames 1800 --person-selection-mode ""most_motion"" --disable-structured-storage --reference-capture-mode ""best_window"" --ref-min-motion-energy 0.02 --ref-min-score-gate 0"
jab,side,jab__side,ready,https://www.youtube.com/watch?v=n-PBmzmeXSI,https://www.youtube.com/watch?v=n-PBmzmeXSI,https://www.youtube.com/watch?v=71nmi6nGcrY,https://www.youtube.com/watch?v=JhkqSCahsNY,https://www.youtube.com/watch?v=meUNR0SgSXw,,,,auto: boxing jab tutorial side view | The Basic Boxing Punches Explained | How & Why,jab,jab__side,yes,"& ""python"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=n-PBmzmeXSI"" --record-reference ""jab__side"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 1 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --auto-exit-after-reference --reference-search-max-frames 1800 --person-selection-mode ""most_motion"" --disable-structured-storage --reference-capture-mode ""best_window"" --ref-min-motion-energy 0.02 --ref-min-score-gate 0"
cross,front,cross__front,ready,https://www.youtube.com/watch?v=sK-6Ujp3KYY,https://www.youtube.com/watch?v=sK-6Ujp3KYY,https://www.youtube.com/watch?v=n-PBmzmeXSI,https://www.youtube.com/watch?v=YsFK1MMDQgk,https://www.youtube.com/watch?v=JhkqSCahsNY,,,,auto: boxing cross punch tutorial front view | How to Throw the Perfect Cross (Right Hand / 2) in Boxing,cross,cross__front,yes,"& ""python"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=sK-6Ujp3KYY"" --record-reference ""cross__front"" --target-technique ""cross"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 1 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --auto-exit-after-reference --reference-search-max-frames 1800 --person-selection-mode ""most_motion"" --disable-structured-storage --reference-capture-mode ""best_window"" --ref-min-motion-energy 0.02 --ref-min-score-gate 0"
cross,left45,cross__left45,ready,https://www.youtube.com/watch?v=6KPs2tFATI0,https://www.youtube.com/watch?v=6KPs2tFATI0,https://www.youtube.com/watch?v=ce-lVnoUYTs,https://www.youtube.com/watch?v=-VDRBeu7zqM,https://www.youtube.com/watch?v=wxZjcfMDZvw,,,,auto: boxing cross punch tutorial left 45 degree view | Anderson Silva Cross Defense,cross,cross__left45,yes,"& ""python"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=6KPs2tFATI0"" --record-reference ""cross__left45"" --target-technique ""cross"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 1 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --auto-exit-after-reference --reference-search-max-frames 1800 --person-selection-mode ""most_motion"" --disable-structured-storage --reference-capture-mode ""best_window"" --ref-min-motion-energy 0.02 --ref-min-score-gate 0"
cross,right45,cross__right45,ready,https://www.youtube.com/watch?v=zl2bZwxM_ws,https://www.youtube.com/watch?v=zl2bZwxM_ws,https://www.youtube.com/watch?v=wxZjcfMDZvw,https://www.youtube.com/watch?v=-VDRBeu7zqM,https://www.youtube.com/watch?v=6KPs2tFATI0,,,,auto: boxing cross punch tutorial right 45 degree view | Joe Frazier Style Cross,cross,cross__right45,yes,"& ""python"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=zl2bZwxM_ws"" --record-reference ""cross__right45"" --target-technique ""cross"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 1 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --auto-exit-after-reference --reference-search-max-frames 1800 --person-selection-mode ""most_motion"" --disable-structured-storage --reference-capture-mode ""best_window"" --ref-min-motion-energy 0.02 --ref-min-score-gate 0"
cross,side,cross__side,ready,https://www.youtube.com/watch?v=YsFK1MMDQgk,https://www.youtube.com/watch?v=YsFK1MMDQgk,https://www.youtube.com/watch?v=JhkqSCahsNY,https://www.youtube.com/watch?v=n-PBmzmeXSI,https://www.youtube.com/watch?v=sK-6Ujp3KYY,,,,auto: boxing cross punch tutorial side view | Muhammad Ali Cross Technique Breakdown,cross,cross__side,yes,"& ""python"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=YsFK1MMDQgk"" --record-reference ""cross__side"" --target-technique ""cross"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 1 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --auto-exit-after-reference --reference-search-max-frames 1800 --person-selection-mode ""most_motion"" --disable-structured-storage --reference-capture-mode ""best_window"" --ref-min-motion-energy 0.02 --ref-min-score-gate 0"
hook,front,hook__front,ready,https://www.youtube.com/watch?v=MJmHnyBjC6s,https://www.youtube.com/watch?v=MJmHnyBjC6s,https://www.youtube.com/watch?v=JhkqSCahsNY,https://www.youtube.com/watch?v=gjKbtKhNoWA,https://www.youtube.com/watch?v=0gtMKaCJ5I8,,,,auto: boxing hook punch tutorial front view | How to throw the right hook in Boxing | Subscribe for more like this,hook,hook__front,yes,"& ""python"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=MJmHnyBjC6s"" --record-reference ""hook__front"" --target-technique ""hook"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 1 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --auto-exit-after-reference --reference-search-max-frames 1800 --person-selection-mode ""most_motion"" --disable-structured-storage --reference-capture-mode ""best_window"" --ref-min-motion-energy 0.02 --ref-min-score-gate 0"
hook,left45,hook__left45,ready,https://www.youtube.com/watch?v=gjKbtKhNoWA,https://www.youtube.com/watch?v=gjKbtKhNoWA,https://www.youtube.com/watch?v=hAOIr4G_QQk,https://www.youtube.com/watch?v=M1xSCbXdQEo,https://www.youtube.com/watch?v=ce-lVnoUYTs,,,,auto: boxing hook punch tutorial left 45 degree view | Mike Tyson Hook Power Mechanics,hook,hook__left45,yes,"& ""python"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=gjKbtKhNoWA"" --record-reference ""hook__left45"" --target-technique ""hook"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 1 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --auto-exit-after-reference --reference-search-max-frames 1800 --person-selection-mode ""most_motion"" --disable-structured-storage --reference-capture-mode ""best_window"" --ref-min-motion-energy 0.02 --ref-min-score-gate 0"
hook,right45,hook__right45,ready,https://www.youtube.com/watch?v=M1xSCbXdQEo,https://www.youtube.com/watch?v=M1xSCbXdQEo,https://www.youtube.com/watch?v=XzmfSbnMJtI,https://www.youtube.com/watch?v=hAOIr4G_QQk,https://www.youtube.com/watch?v=gjKbtKhNoWA,,,,auto: boxing hook punch tutorial right 45 degree view | Sugar Ray Robinson Hook Technique,hook,hook__right45,yes,"& ""python"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=M1xSCbXdQEo"" --record-reference ""hook__right45"" --target-technique ""hook"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 1 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --auto-exit-after-reference --reference-search-max-frames 1800 --person-selection-mode ""most_motion"" --disable-structured-storage --reference-capture-mode ""best_window"" --ref-min-motion-energy 0.02 --ref-min-score-gate 0"
hook,side,hook__side,ready,https://www.youtube.com/watch?v=XzmfSbnMJtI,https://www.youtube.com/watch?v=XzmfSbnMJtI,https://www.youtube.com/watch?v=0gtMKaCJ5I8,https://www.youtube.com/watch?v=n-PBmzmeXSI,https://www.youtube.com/watch?v=M1xSCbXdQEo,,,,auto: boxing hook punch tutorial side view | Lennox Lewis Hook Counter,hook,hook__side,yes,"& ""python"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=XzmfSbnMJtI"" --record-reference ""hook__side"" --target-technique ""hook"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 1 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --auto-exit-after-reference --reference-search-max-frames 1800 --person-selection-mode ""most_motion"" --disable-structured-storage --reference-capture-mode ""best_window"" --ref-min-motion-energy 0.02 --ref-min-score-gate 0"
uppercut,front,uppercut__front,ready,https://www.youtube.com/watch?v=eBxn21FtqPg,https://www.youtube.com/watch?v=eBxn21FtqPg,https://www.youtube.com/watch?v=JhkqSCahsNY,https://www.youtube.com/watch?v=VljZoHO1OLk,https://www.youtube.com/watch?v=zl2bZwxM_ws,,,,auto: boxing uppercut tutorial front view | The Correct Way to Throw Uppercut,uppercut,uppercut__front,yes,"& ""python"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=eBxn21FtqPg"" --record-reference ""uppercut__front"" --target-technique ""uppercut"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 1 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --auto-exit-after-reference --reference-search-max-frames 1800 --person-selection-mode ""most_motion"" --disable-structured-storage --reference-capture-mode ""best_window"" --ref-min-motion-energy 0.02 --ref-min-score-gate 0"
uppercut,left45,uppercut__left45,ready,https://www.youtube.com/watch?v=ApRBjb93FJ4,https://www.youtube.com/watch?v=ApRBjb93FJ4,https://www.youtube.com/watch?v=GxMOV3ibhWg,https://www.youtube.com/watch?v=VljZoHO1OLk,https://www.youtube.com/watch?v=6KPs2tFATI0,,,,auto: boxing uppercut tutorial left 45 degree view | Sugar Leonard Uppercut Power,uppercut,uppercut__left45,yes,"& ""python"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=ApRBjb93FJ4"" --record-reference ""uppercut__left45"" --target-technique ""uppercut"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 1 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --auto-exit-after-reference --reference-search-max-frames 1800 --person-selection-mode ""most_motion"" --disable-structured-storage --reference-capture-mode ""best_window"" --ref-min-motion-energy 0.02 --ref-min-score-gate 0"
uppercut,right45,uppercut__right45,ready,https://www.youtube.com/watch?v=DelgrO2MEiI,https://www.youtube.com/watch?v=DelgrO2MEiI,https://www.youtube.com/watch?v=GxMOV3ibhWg,https://www.youtube.com/watch?v=VljZoHO1OLk,https://www.youtube.com/watch?v=ApRBjb93FJ4,,,,auto: boxing uppercut tutorial right 45 degree view | Marvelous Marvin Hagler Uppercut Mastery,uppercut,uppercut__right45,yes,"& ""python"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=DelgrO2MEiI"" --record-reference ""uppercut__right45"" --target-technique ""uppercut"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 1 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --auto-exit-after-reference --reference-search-max-frames 1800 --person-selection-mode ""most_motion"" --disable-structured-storage --reference-capture-mode ""best_window"" --ref-min-motion-energy 0.02 --ref-min-score-gate 0"
